Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/bts ticker,	Volume in BTS,	Trade count
XBTSX.BTC/GDEX.BTC,	3161,	3130,	82000,	84546.1227496782744073,	2.59202,	1
BTS/GDEX.EOS,	821613506,	100371853,	0,	78.341636768445043628,	7863.2952495018,	29
CNY/GDEX.ETH,	999992,	111111,	3.27332599619167409115,	2754.8209366391184573,	327.32998095837,	2
GDEX.BTC/BTS,	13271559,	1081200371,	84546.1227496782744073,	0,	11220.588562936,	14
GDEX.EOS/CNY,	1515153828,	365078727,	78.341636768445043628,	3.27653855533638623839,	118699.6308415,	84
GDEX.BTC/OPEN.BTC,	4215328,	4182952,	84546.1227496782744073,	84329.5259005796051261,	3563.8963851816,	16
CNY/GDEX.HPB,	59000,	40000000,	3.26490284534695605281,	0.09972000003450312,	19.262926787547,	2
RUDEX.BTC/GDEX.BTC,	633,	627,	83954.3155,	84546.1227496782744073,	0.531430817115,	1
CNY/GDEX.EOS,	251905137,	1009868259,	3.26135356435643564356,	78.341636768445043628,	82155.171643465,	114
CNY/GDEX.BTM,	806768,	113000000,	3.25944443165891153064,	6.2499815,	262.96154652406,	4
CNY/GDEX.DRCT,	305000,	400000000,	3.25944443165891153064,	0,	99.413055165597,	2
CNY/GDEX.GXS,	1712000,	40000000,	3.25944526598540535835,	9.879036666666666666,	558.0170295367,	2
CNY/GDEX.BTC,	44633,	17048,	3.25732899098081793811,	84546.1227496782744073,	14.538436485445,	6
GDEX.BTC/BRIDGE.BTC,	17036,	16940,	84546.1227496782744073,	84515.5375410152480216,	14.403277471635,	6
CNY/GDEX.FOTA,	2044595,	2120202022,	3.25732899098081793811,	0.166,	665.99185683144,	3
CNY/GDEX.DHT,	4216,	39999999,	3.25732899098081793811,	0.0034000000816000019,	1.3732899025975,	3
GDEX.DHT/BTS,	29469319,	100202,	0.0034000000816000019,	0,	1.001956870047,	3
CNY/GDEX.BKBT,	5165468,	9011688535,	3.25743615669440590716,	0.0133000000239579445,	1682.6182229448,	8
GDEX.BKBT/CNY,	11112,	6,	0.0133000000239579445,	3.2733220785597381342,	0.0014778960026622,	3
GDEX.BTO/CNY,	39374718985,	20120483,	0.2,	3.2733220785597381342,	7874.943797,	5
CNY/GDEX.NEO,	1444000,	20000000,	3.2733220785597381342,	212.0000508800122112,	472.66770814403,	2
CNY/GDEX.OBYTE,	247000,	10000000,	3.27332242,	0,	80.851063774,	2
CNY/GDEX.DAG,	100700,	200000000,	3.27436334140910077961,	0,	32.97283884799,	2
CNY/GDEX.BTO,	35077812,	65034544783,	3.28,	0.2,	11505.522336,	8
CNY/GDEX.TOPC,	4145200,	13600000000,	3.28,	0.050080790109862544,	1359.6256,	3
CNY/GDEX.NAS,	2000000,	300000000,	3.28,	0,	656,	2
CNY/GDEX.SDA,	1260000,	200000000,	3.28,	0,	413.28,	2
CNY/GDEX.BISO,	161000,	220000000,	3.28,	0.0543816087010573921,	52.808,	2
GDEX.IQ/BTS,	45999901,	460459,	0.0100099999633002827,	0,	4.6045900732182,	1
USD/GDEX.EOS,	20949,	491801,	19.57713385923699516838,	78.341636768445043628,	41.012137721716,	2
GDEX.BTC/RUDEX.BTC,	1064038,	1058221,	84546.1227496782744073,	83954.3155,	899.60287358322,	3
GDEX.EOS/USD,	180666737,	7317002,	78.341636768445043628,	19.57713385923699516838,	14153.727886194,	52
CNY/GDEX.SEER,	78200,	159650689,	3.26786697124626136268,	0.0130799985719271096,	25.554719715146,	3
CNY/GDEX.SCR,	3200000,	202857143,	3.2584714130994794236,	0,	1042.7108521918,	2
CNY/GDEX.FGC,	945889,	344400000,	3.2584714130994794236,	0.2,	308.21522664653,	4
CNY/GDEX.STB,	265000,	800000000,	3.26776027667576114469,	0.002000100000199769,	86.595647331908,	4
GDEX.DRCT/CNY,	412428680,	43366,	0,	3.26776027667576114469,	14.170969215832,	2
GDEX.ETH/CNY,	999001,	8391608,	2754.8209366391184573,	3.2520293501982597589,	2752.0688705234,	1
CNY/GDEX.JRC,	114979,	1002000000,	3.2520293501982597589,	0.811,	37.391508265645,	2
CNY/GDEX.MTS,	1740049,	209010012,	3.24780772181588788354,	35,	565.1344578538,	4
CNY/GDEX.QTUM,	1232000,	60000000,	3.24791321575887492286,	89,	400.14290818149,	2
CNY/GDEX.CPC,	704000,	600000000,	3.24791321575887492286,	0.699999957026187334,	228.65309038942,	3
GDEX.EOS/OPEN.EOS,	342889686,	339979328,	78.341636768445043628,	77.586350215761980467,	26862.539232258,	50
BTS/GDEX.BTC,	136215264,	1612668,	0,	84547.2915275159160276,	1363.467115331,	9
